Date,Price,Open,High,Low,Vol.,Change %
1/1/2002,4.9498,4.9466,4.9498,4.9466,,0.03%
12/1/2001,4.9483,4.941,4.9483,4.941,,-0.60%
11/1/2001,4.9783,4.975,4.9783,4.975,,-0.13%
10/1/2001,4.9847,4.9822,4.9847,4.9822,,-0.65%
9/1/2001,5.0173,5.0122,5.0173,5.0122,,0.21%
8/1/2001,5.0067,5.0024,5.0067,5.0024,,-0.09%
7/1/2001,5.0114,5.0063,5.0114,5.0063,,-0.49%
6/1/2001,5.036,5.0309,5.036,5.0309,,0.25%
5/1/2001,5.0233,5.0199,5.0233,5.0199,,-0.28%
4/1/2001,5.0373,5.0304,5.0373,5.0304,,-0.32%
3/1/2001,5.0534,5.0509,5.0534,5.0509,,-0.26%
2/1/2001,5.0668,5.0642,5.0668,5.0642,,-0.57%
1/1/2001,5.0959,5.0906,5.0959,5.0906,,-0.08%
12/1/2000,5.0998,5.0979,5.0998,5.0979,,-1.14%
11/1/2000,5.1584,5.1555,5.1584,5.1555,,0.88%
10/1/2000,5.1136,5.111,5.1136,5.111,,-0.34%
9/1/2000,5.1312,5.1285,5.1312,5.1285,,0.01%
8/1/2000,5.1305,5.1251,5.1305,5.1251,,0.21%
7/1/2000,5.1197,5.1173,5.1197,5.1173,,0.55%
6/1/2000,5.0917,5.0801,5.0917,5.0801,,1.02%
5/1/2000,5.0403,5.0314,5.0403,5.0314,,0.95%
4/1/2000,4.9928,4.9849,4.9928,4.9849,,0.71%
3/1/2000,4.9574,4.9487,4.9574,4.9487,,1.28%
2/1/2000,4.8947,4.873,4.8947,4.873,,0.51%
